link,name,number,organization,price,status
//ke.qq.com/course/473724,【博为峰】软件测试国际权威认证ISTQB2018版考纲培训免费咨询,142,博为峰网校在线教育,0,共5节
//ke.qq.com/course/226192,高考英语完形填空  完型填空1小时冲向满分（vx-13186026871）,214,陕西腾跃教育科技有限公司,0,共1节
//ke.qq.com/course/355394,【毕老师·消防全攻略】2020消防工程师入门课,927,毕老师·消防全攻略,1,共5节
//ke.qq.com/course/410852,Web安全工程师之攻防实验室搭建,14,拼客学院,0,共1节
//ke.qq.com/course/300719,"【直播】亚马逊3大引爆流量技巧,不懂英语也能爆单【齐论】",2054,齐论跨境学院,0,共4节
//ke.qq.com/course/380991,Python零基础快速就业到高级工程师/网络爬虫/人工智能/商业项目,4418,六星云课堂,0,共34节
//ke.qq.com/course/455581,并发编程之AQS底层源码分析【鲁班学院】,115,鲁班学院,0,共3节
//ke.qq.com/course/133640,Web前端开发(HTML/CSS/javaScript/Vue/React/Node),854,六星教育,0,共30节
//ke.qq.com/course/310623,【北京峰源注册消防】（2019年注册消防考试免费直播公开课）,84,峰源教育,0,共37节
//ke.qq.com/course/270266,Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】,645,卓尔谟教育,3200,随到随学
//ke.qq.com/course/276117,3Dmax多边形建模系列,122,云龙课堂,0,共19节
//ke.qq.com/course/145743,PS淘宝美工PS教程/平面设计/抠图/产品精修+主图/海报/详情页设计,4575,涵品教育,0,共19节
//ke.qq.com/course/131374,【柠檬班】软件测试自学/面试/接口/压力/自动化/性能/入门到精通,1974,柠檬班,0,共42节
//ke.qq.com/course/455814,VIP 2020淘宝实操爆款课程 一年制【优梯教育】,1092,优梯教育,3680,开设2个班级
//ke.qq.com/course/332866,python基础教程-马哥7天共学Python入门基础课程,611,马哥教育,0,共7节
//ke.qq.com/course/405676,CCNA安全思科网络工程师,78,太阁IT认证中心,0,进度：7/7节
//ke.qq.com/course/282859,java自动化测试入门,2147,柠檬班,0,共9节
//ke.qq.com/course/255762#term_id=100518043,AE+C4D影视后期特效视频 广告动画栏目包装设计师 平面电商美工班,7974,木客教育,0,共34节
//ke.qq.com/course/437958#term_id=100518043,json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】,26,学神IT教育,6780,进度：1/25节
//ke.qq.com/course/429389#term_id=100518043,Java响应式编程【马士兵教育】,248,马士兵老师,0,共1节
//ke.qq.com/course/455909#term_id=100518043,全面详解并实操SoapUI接口测试实战课程【柠檬班】,186,柠檬班,0,共13节
//ke.qq.com/course/467476#term_id=100518043,抖音短视频上热门|自媒体网赚|Vlog视频赚钱|电商引流带货,131,魔贝课凡,0,共3节
//ke.qq.com/course/package/20945,2019年GRE刷题营,9,真佑教育,1799,课程2
//ke.qq.com/course/417688#term_id=100518043,【坤哥物理】初升高如何学好高中物理？听坤哥这样说,74,蜜蜂优课,0,共1节
//ke.qq.com/course/151387,基础入门--maya影视角色动画师必修课程【百艺汇聚】,284,百艺汇聚,0,共32节
//ke.qq.com/course/451441,postman接口测试实战从入门到精通软件精品课【柠檬班】,684,柠檬班,0,共10节
//ke.qq.com/course/462729,高考数学那些神奇解题大招大汇总一,953,宋超,0,共13节
//ke.qq.com/course/328509,PHP7进阶到架构-Laravel/Redis/Swoole/高并发分布式【六星教育】,1967,六星教育,0,进度：15/16节
//ke.qq.com/course/231570,2020权威「HTML+CSS」零基础入门精英课,1584,渡一教育,0,共10节
//ke.qq.com/course/297038,【北京峰源】2019注册结构基础+专业考试精选课程,1565,峰源教育,1,共47节
//ke.qq.com/course/276498,【速成班】自媒体短视频赚钱|抖音Vlog今日头条号大鱼企鹅百家号,1516,泛学苑自媒体,0,共8节
//ke.qq.com/course/430631,跨境首选虾皮Shopee高手实操课程【优梯跨境】,112,优梯跨境学院,0,共16节
//ke.qq.com/course/227297,必修二：立体几何体表面积三视图—高中数学高一数学春季高考数学,367,数学怪,0,共7节
//ke.qq.com/course/3299,Solidworks非标机械自动化,289,云艺帆教育,0,共10节
//ke.qq.com/course/283418,工业产品设计手绘基础马克笔表现实战班【卓尔谟教育】,204,卓尔谟教育,3200,随到随学
//ke.qq.com/course/462385,《斗罗大陆H5》史莱克训练营开学典礼,184,Vincent,0,共1节
//ke.qq.com/course/434284,20年上半年省考申论精讲课,196,抵岸教育,980,随到随学
//ke.qq.com/course/362193,2020年软考系统集成项目管理工程师--基础知识 精讲免费视频,228,小任老师,0,共10节
//ke.qq.com/course/316061,零基础英语口语流利说 国际音标 自然拼读法 英语语法 新概念英语,929,Jenny英语课堂,0,共34节
//ke.qq.com/course/440539,抖音电商|抖音短视频推广|新媒体|淘宝客自媒体抖音上热门,759,魔贝课凡,0,共6节
//ke.qq.com/course/452582,【淘宝系统化运营】90天成长计划,1,亚空学堂,2688,共11节
//ke.qq.com/course/401036,原画人厚涂插画课程试听和介绍,111,原画人在线学院,0,共1节
//ke.qq.com/course/452165,Java日志框架-SLF4J入门,264,马士兵老师,0,共1节
//ke.qq.com/course/261547,自媒体运营|新媒体运营|微信公众号大鱼号百家号企鹅号今日头条号,1,微客教育,0,共4节
//ke.qq.com/course/package/21995,高薪就业+云架构师课,14,学神IT教育,8600,课程2
//ke.qq.com/course/461170,CRMEB门店设置与核销,121,鲁冬明,0,共1节
//ke.qq.com/course/143162,Python自动化开发实战课程(基础篇)-【马哥教育】,408,马哥教育,0,共75节
//ke.qq.com/course/465553,2019最新版从零开始学MT4平台MQL4语言编程第2阶段,31,漆学军,0,共4节
//ke.qq.com/course/425746,Spring Cloud微服务实战,505,享学课堂,488,共25节
//ke.qq.com/course/436711,Mysql底层原理与性能调优【图灵学院】,476,图灵学院,0,共4节
//ke.qq.com/course/28986,.NET/C#架构师/高级开发/Core/微服务/分布式/高并发【软谋教育】,1495,软谋教育,0,共3节
//ke.qq.com/course/203043,山本教育素云VIP第10期恋爱技巧-脱单特训班,7045,山本教育,2298,共7节
//ke.qq.com/course/185354,高考数学中的绝杀技巧【数学超人】+【微信】supermath987,624,宋超,0,共8节
//ke.qq.com/course/406893,【康哥英语】2020高考英语一轮复习规划,240,蜜蜂优课,0,共5节
//ke.qq.com/course/package/7459,2019室内设计全案班,394,若水学院,3880,课程2
//ke.qq.com/course/301616,C#/.NET上位机软件开发VIP体验课【资料获取加QQ：995551858】,350,喜科堂互联教育,0,共28节
//ke.qq.com/course/426924,2020高考学渣拯救计划,728,闪电课堂,0,共4节
//ke.qq.com/course/474249,ProE /Creo工业产品设计结构辅助设计入门到精通课,11,卓尔谟教育,3600,共32节
//ke.qq.com/course/459810,深入讲解spring aop原理、源码分析【鲁班学院】,134,鲁班学院,0,共3节
//ke.qq.com/course/435426,【坤哥物理】粒子运动专题试听课 你没听过的旋轮线 高手进,310,蜜蜂优课,0,共1节
//ke.qq.com/course/434272,20年省考-行测精讲课,296,抵岸教育,980,随到随学
//ke.qq.com/course/435352,【坤哥物理】新高一高手必听课 微元法初步 详情咨询微信,222,蜜蜂优课,0,共1节
//ke.qq.com/course/416017,Proe/Creo产品设计-结构设计（造型/工艺/开模图/工程图/仿真）,180,云艺帆教育,0,共21节
//ke.qq.com/course/462914,Jmeter高级性能测试项目实战(赠送Loadrunner视频）,91,松勤软件测试,3980,随到随学
//ke.qq.com/course/219438,Proe-Creo产品设计/结构设计【建模曲面结构零基础到精通】,235,云艺帆教育,0,共19节
//ke.qq.com/course/389268,初二物理下册经典题详解,533,晓窗教育,0,共51节
