name,institution,price($),Number of people purchased
python自动化+Py全栈+爬虫+Ai=python全能工程师-挑战年薪30万,马哥教育,7280.00,1036
Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋教育】,扣丁学堂,7280.00,104
Python全栈开发,六星云课堂,7880.00,0
Python全栈开发/爬虫/人工智能/机器学习/数据分析【七期就业班】,扣丁学堂,7280.00,25
【NEXT学院】Python从入门到实战·基础篇,腾讯课堂NEXT学院,999.00,38
Python人工智能全栈开发二期【千锋教育】,扣丁学堂,5800.00,52
马哥教育Python全栈+爬虫+数据分析+AI小白入门训练营,马哥教育,498.00,6502
Python爬虫+数据分析高薪班,青灯教育,3599.00,8
python人工智能全栈开发一期【千锋教育】,扣丁学堂,5800.00,122
Python全栈+爬虫套餐,马哥教育,5680.00,12
Python零基础入门精讲,学神IT教育,38.00,1375
全栈+爬虫+数据+AI,马哥教育,8800.00,70
Python爬虫工程师高薪就业班,青灯教育,3796.00,7
Python数据分析AI套餐,马哥教育,6280.00,11
Python入门+实战训练营,誉天教育,9.90,37
【NEXT学院】Python从入门到实战·完整篇,腾讯课堂NEXT学院,2999.00,34
Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋四期】,扣丁学堂,6800.00,102
python零基础到爬虫,达亚学院,2000.00,0
2019最新Python精品录播-Python基础视频教程,扣丁学堂,99.00,1381
1元购Python深度突击班400元优惠券,博为峰网校在线教育,1.00,25
Python基础进阶实战,联科教育,536.00,0
Python基础入门Python零基础入门到精通【咕泡VIP精品课程】,咕泡教育,,1352
Python轻松入门到项目实战【动脑学院】,动脑学院,6380.00,313
Python全套高薪就业班,青灯教育,5884.00,42
Python全栈/爬虫/算法,达亚学院,6880.00,0
专为小白打造的Python七天速成集训营,马哥教育,498.00,3465
Python基础到高级实战,六星云课堂,1980.00,780
2019python学习必备-零基础Python快速入门教程,马哥教育,98.00,1286
Python全栈+爬虫+AI人工智能-挑战年薪30万,六星云课堂,6880.00,583
【NEXT学院】Python从入门到实战·语音识别之热词唤醒,腾讯课堂NEXT学院,299.00,1855
Python高薪爬虫体验班【六星教育】,六星教育,199.00,85
Python全栈课程,达亚学院,7380.00,56
Python爬虫开发从入门到实战,青灯教育,1999.00,322
【NEXT公开课】初识Python编程,腾讯课堂NEXT学院,0.02,195
年薪30万Python精英训练营-12天零基础入门到实战,马哥教育,28.00,26
【NEXT公开课】Python编写学生信息管理系统,腾讯课堂NEXT学院,0.02,260
乾颐盾系列Python黑客技巧视频讲解,乾颐堂网络培训,999.00,6
【NEXT公开课】用Python玩转数据—Pandas库入门,腾讯课堂NEXT学院,0.02,89
python+AI VIP体验视频,灵犀教育,,69
Python爬虫+人工智能实战班,软谋教育,6499.00,154
Selenium 自动化测试,优特学院,1599.00,0
前端基础×Python体系,腾讯课堂NEXT学院,4988.00,0
Python网络爬虫系统项目实战课程【从零基础开始学习】_咕泡学院,咕泡教育,,200
Python高薪VIP体验班【六星教育】,六星教育,199.00,39
Python全栈高薪VIP体验班【缔凡教育】,缔凡教育,9.90,25
Python高薪VIP爬虫体验班【六星教育】,六星教育,199.00,231
【NEXT特训班】Python训练营,腾讯课堂NEXT学院,99.00,187
数据分析高薪就业班,灵犀教育,2580.00,1
Python 3 完全零基础入门精讲,优特学院,499.00,764
Python基础语法,联科教育,128.00,2
Python爬虫高薪就业VIP班,灵犀教育,1580.00,4
Python案例实战系列,联科教育,998.00,0
Python人工智能入门专题课|游戏破解/动态二维码/玩转微信/爬虫,扣丁学堂,198.00,71
Python从入门到高级,鲁班学院,3980.00,148
【NEXT学院】Python从入门到实战·爬虫,腾讯课堂NEXT学院,699.00,7
Python人工智能精选视频合集,软谋教育,500.00,103
【NEXT学院】Python从入门到实战·进阶篇,腾讯课堂NEXT学院,1999.00,2
python 高级开发,博毅创为大学堂,1980.00,7
Python数据挖掘算法,数据咖学堂,199.00,6
Python全栈+爬虫+AI人工智能-挑战年薪30万,六星教育,6880.00,0
Python高级教程—机器学习和数据分析,扣丁学堂,50.00,41
Python基础到高级实战,六星教育,1980.00,1
Python网络编程之经典网络协议,乾颐堂网络培训,899.00,2
Python轻松玩转数据分析【动脑学院】,动脑学院,4980.00,1
Python入门和面向对象,联科教育,699.00,2
撩课-Python-玩转GUI,撩课教育,200.00,10
python从入门到进阶,数据咖学堂,29.00,34
Python零基础到爬虫项目【Po学校】,博匠教育,499.00,0
Python入门系列教程1—linux基础,博学谷,1.00,27
Python入门【Po学校】,博匠教育,98.00,20
Flask Python Web 网站开发,优特学院,2298.00,342
零基础7天快速入门Python,博学谷,1.00,143
Python最佳实践,知数堂,1.00,263
AI 人工智能工程师【马士兵教育】,马士兵老师,12490,117
Python教程/Python数据库/Python基础入门-MySQL基础入门教程,源码时代,0.02,439
周哥教IT.Python基础与AI方向,周哥教IT,1.00,878
Python入门到高级开发班,青灯教育,1599.00,8
web全栈开发班级,逻辑教育,6880.00,238
Python基础编程-Python小白到大神的必经之路,缔凡教育,,136
Python从入门到爬虫（实战）,码上教育,69.00,3
第一行Python代码,乐上轻至,1.00,731
Python数据分析精选视频【灵犀教育】,灵犀教育,,47
Python面向对象与模块化,乐上轻至,9.00,525
Python全栈+数据分析,北京思无限科技有限责任公司,1298.00,10
20小时通关Python全栈,乐上轻至,169.00,4
